iteration,dataset,algorithm,support,time,memory
3,Kosarak,My Eclat,0.2,2.767334461212158,162.48828125
3,Kosarak,My Eclat,0.3,2.7656733989715576,162.5078125
3,Kosarak,My Eclat,0.4,2.712425947189331,153.3828125
3,Kosarak,My Eclat,0.5,2.7351255416870117,146.37890625
3,Kosarak,My Eclat,0.6,2.6908862590789795,145.3828125
3,Kosarak,My Eclat,0.7,2.6999263763427734,146.22265625
3,Kosarak,My Eclat,0.8,2.761043071746826,370.515625
3,Kosarak,My Eclat,0.9,2.6901042461395264,146.984375
3,Kosarak,My Postdiffset,0.1,2.801170587539673,165.98046875
3,Kosarak,My Postdiffset,0.2,2.7815308570861816,162.44140625
3,Kosarak,My Postdiffset,0.3,2.8080499172210693,161.4140625
3,Kosarak,My Postdiffset,0.4,2.74957537651062,154.38671875
3,Kosarak,My Postdiffset,0.5,2.7701308727264404,145.23828125
3,Kosarak,My Postdiffset,0.6,2.748295545578003,383.6640625
3,Kosarak,My Postdiffset,0.7,2.7627785205841064,145.984375
3,Kosarak,My Postdiffset,0.8,2.705195426940918,146.3984375
3,Kosarak,My Postdiffset,0.9,2.7122480869293213,145.4375
3,Kosarak,My Adv. Eclat,0.1,5.553617477416992,4650.0703125
3,Kosarak,My Adv. Eclat,0.2,5.571980714797974,4871.35546875
3,Kosarak,My Adv. Eclat,0.3,5.639647722244263,4871.16015625
3,Kosarak,My Adv. Eclat,0.4,5.6672141551971436,4871.5390625
3,Kosarak,My Adv. Eclat,0.5,5.734294414520264,4871.12109375
3,Kosarak,My Adv. Eclat,0.6,5.640779972076416,4870.8828125
3,Kosarak,My Adv. Eclat,0.7,5.604626893997192,4871.36328125
3,Kosarak,My Adv. Eclat,0.8,5.635676145553589,4870.87109375
3,Kosarak,My Adv. Eclat,0.9,5.604033470153809,4871.125
3,Kosarak,FIM Apriori,0.1,0.9566752910614014,60.4375
3,Kosarak,FIM Apriori,0.2,0.929208517074585,1.51953125
3,Kosarak,FIM Apriori,0.3,0.9224545955657959,0.59765625
3,Kosarak,FIM Apriori,0.4,0.8597691059112549,0.20703125
3,Kosarak,FIM Apriori,0.5,0.766381025314331,0.0234375
3,Kosarak,FIM Apriori,0.6,0.7720980644226074,47.79296875
3,Kosarak,FIM Apriori,0.7,0.6840369701385498,0.80078125
3,Kosarak,FIM Apriori,0.8,0.6703536510467529,0.8984375
3,Kosarak,FIM Apriori,0.9,0.6736383438110352,0.47265625
3,Kosarak,FIM Eclat,0.1,0.9517755508422852,0.0703125
3,Kosarak,FIM Eclat,0.2,0.9088659286499023,0.16796875
3,Kosarak,FIM Eclat,0.3,0.8889853954315186,0.1328125
3,Kosarak,FIM Eclat,0.4,0.8318030834197998,0.0390625
3,Kosarak,FIM Eclat,0.5,0.761145830154419,0.08984375
3,Kosarak,FIM Eclat,0.6,0.7449071407318115,0.02734375
3,Kosarak,FIM Eclat,0.7,0.7007174491882324,0.10546875
3,Kosarak,FIM Eclat,0.8,0.6604654788970947,0.0234375
3,Kosarak,FIM Eclat,0.9,0.6667470932006836,0.05859375
3,Chess,My Eclat,0.7,3.4197089672088623,42.7890625
3,Chess,My Eclat,0.8,0.6078391075134277,12.95703125
3,Chess,My Eclat,0.9,0.07070589065551758,11.0234375
3,Chess,My Postdiffset,0.7,0.83070969581604,312.11328125
3,Chess,My Postdiffset,0.8,0.08601975440979004,5.68359375
3,Chess,My Postdiffset,0.9,0.027877092361450195,0.03515625
3,Chess,My Adv. Eclat,0.7,0.09861946105957031,25.81640625
3,Chess,My Adv. Eclat,0.8,0.03342795372009277,0.03125
3,Chess,My Adv. Eclat,0.9,0.01135873794555664,0.0234375
3,Chess,FIM Apriori,0.7,0.07857942581176758,5.5859375
3,Chess,FIM Apriori,0.8,0.023884057998657227,0.03125
3,Chess,FIM Apriori,0.9,0.0041921138763427734,0.01953125
3,Chess,FIM Eclat,0.7,0.028193235397338867,3.05078125
3,Chess,FIM Eclat,0.8,0.019505023956298828,0.04296875
3,Chess,FIM Eclat,0.9,0.003996849060058594,0.0234375
3,Mushrooms,My Eclat,0.7,0.03654170036315918,4.46875
3,Mushrooms,My Eclat,0.8,0.033037424087524414,0.0234375
3,Mushrooms,My Eclat,0.9,0.03161764144897461,0.0234375
3,Mushrooms,My Postdiffset,0.7,0.03236126899719238,0.0234375
3,Mushrooms,My Postdiffset,0.8,0.0321345329284668,0.0234375
3,Mushrooms,My Postdiffset,0.9,0.03142428398132324,0.0234375
3,Mushrooms,My Adv. Eclat,0.7,0.018192052841186523,0.0234375
3,Mushrooms,My Adv. Eclat,0.8,0.01826643943786621,0.0234375
3,Mushrooms,My Adv. Eclat,0.9,0.018162250518798828,0.0234375
3,Mushrooms,FIM Apriori,0.7,0.006685495376586914,0.0234375
3,Mushrooms,FIM Apriori,0.8,0.006739616394042969,0.0234375
3,Mushrooms,FIM Apriori,0.9,0.006788492202758789,0.0234375
3,Mushrooms,FIM Eclat,0.7,0.0067691802978515625,0.0234375
3,Mushrooms,FIM Eclat,0.8,0.0066912174224853516,0.01953125
3,Mushrooms,FIM Eclat,0.9,0.006555318832397461,0.01953125
4,Retail,My Eclat,0.1,0.2962839603424072,31.9140625
4,Retail,My Eclat,0.2,0.2887904644012451,11.03515625
4,Retail,My Eclat,0.3,0.287595272064209,8.86328125
4,Retail,My Eclat,0.4,0.2893362045288086,8.90625
4,Retail,My Eclat,0.5,0.2848377227783203,9.125
4,Retail,My Eclat,0.6,0.3036479949951172,8.98828125
4,Retail,My Eclat,0.7,0.2905726432800293,8.95703125
4,Retail,My Eclat,0.8,0.285524845123291,8.77734375
4,Retail,My Eclat,0.9,0.2864527702331543,8.890625
4,Retail,My Postdiffset,0.1,0.2949669361114502,8.921875
4,Retail,My Postdiffset,0.2,0.2867405414581299,8.87109375
4,Retail,My Postdiffset,0.3,0.3012840747833252,8.94921875
4,Retail,My Postdiffset,0.4,0.285994291305542,11.03515625
4,Retail,My Postdiffset,0.5,0.28648972511291504,8.8359375
4,Retail,My Postdiffset,0.6,0.3241236209869385,9.02734375
4,Retail,My Postdiffset,0.7,0.2843806743621826,9.00390625
4,Retail,My Postdiffset,0.8,0.2875642776489258,9.03125
4,Retail,My Postdiffset,0.9,0.29215216636657715,37.4296875
4,Retail,My Adv. Eclat,0.1,0.27579450607299805,153.0078125
4,Retail,My Adv. Eclat,0.2,0.23618268966674805,0.0859375
4,Retail,My Adv. Eclat,0.3,0.23804378509521484,0.078125
4,Retail,My Adv. Eclat,0.4,0.2358100414276123,0.078125
4,Retail,My Adv. Eclat,0.5,0.23683547973632812,0.078125
4,Retail,My Adv. Eclat,0.6,0.23691725730895996,0.078125
4,Retail,My Adv. Eclat,0.7,0.24373078346252441,0.078125
4,Retail,My Adv. Eclat,0.8,0.24042558670043945,0.078125
4,Retail,My Adv. Eclat,0.9,0.23351263999938965,0.078125
4,Retail,FIM Apriori,0.1,0.08426237106323242,1.84375
4,Retail,FIM Apriori,0.2,0.07937479019165039,0.03515625
4,Retail,FIM Apriori,0.3,0.07528066635131836,0.05078125
4,Retail,FIM Apriori,0.4,0.07625126838684082,0.0234375
4,Retail,FIM Apriori,0.5,0.0743403434753418,0.02734375
